clé	statut	source	note
nav_mairies	vérifié (flexion)	INFCOR 15830, 27910 · flexion: 23894	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
nav_mairies_tt	vérifié (flexion)	flexion: 2763, 11092, 12176, 23894	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
sb_dot_tt	vérifié	INFCOR 11092, 12736	
sb_dot_aria	flaggé	— (cf. note)	statu — « statut/état » : la 1re entrée INFCOR « statu » (id 46249) = « bustier » ; des formes statu/statutu peuvent exister par ailleurs — sens à confirmer (risque de faux-sens).
hdr_status	flaggé	— (cf. note)	caricamentu — « chargement » absent INFCOR (carica id 8925 attesté). Dérivé régulier, à confirmer.
about_title	vérifié	INFCOR 36614	
about_h4_pas	vérifié	INFCOR 	
about_h4_episteme	flaggé	— (cf. note)	epistemica — « épistémique » non attesté INFCOR. Terme savant.
about_h4_porteur	vérifié	INFCOR 36473, 53147	
about_h4_sources	vérifié (flexion)	INFCOR 18021 · flexion: 13532	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
about_h4_contact	vérifié	INFCOR 12711, 12823	
expert_modal_title	vérifié	INFCOR 16367, 28927	
expert_modal_cancel	vérifié	INFCOR 3272	
expert_modal_ok	vérifié	INFCOR 8508	
contrib_title	vérifié	INFCOR 12821	
contrib_close_aria	vérifié	INFCOR 707	
ctab_obs	vérifié	INFCOR 31750	
ctab_mes	vérifié (flexion)	INFCOR 28694 · flexion: 49087	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
ctab_cap	flaggé	— (cf. note)	sensori — idem sensore (pluriel).
obs_intro	flaggé	— (cf. note)	libera — « libre » (adj.) : recherche renvoie liberà (verbe libérer, id 25458) ; l'adjectif liberu/libera à confirmer.
obs_position	flaggé	— (cf. note)	cliccate — idem cliccà (impératif). Non attesté au sens informatique. || riaprite — « rouvrez » (riaprì) non attesté INFCOR (apre id 3982 attesté). Dérivé, à confirmer. || formulariu — « formulaire » non attesté INFCOR.
obs_lat_ph	vérifié	INFCOR 25407	
obs_lon_ph	vérifié	INFCOR 25908	
obs_note_label	vérifié (flexion)	INFCOR 45664 · flexion: 52311	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
obs_note_ph	vérifié	INFCOR 8927, 12917, 31750, 32904, 43235, 52018	
obs_cancel	vérifié	INFCOR 3272	
obs_send	vérifié	INFCOR 26627	
mes_avant	vérifié	INFCOR 28691	
mes_precautions	flaggé	— (cf. note)	magneticu — Forme exacte « magneticu » absente INFCOR (elettromagneticu id 15612 attesté). Forme régulière probable, à confirmer natif. || sensore — « capteur » non attesté INFCOR (italianisme). Cf. captatore ?
mes_pourquoi	vérifié	INFCOR 35839	
mes_formulaire	flaggé	— (cf. note)	formulariu — « formulaire » non attesté INFCOR. || equipati — « équipés » : verbe equipà/equipagià attesté (id 16026), mais participe equipatu/equipati non confirmé. À confirmer. || sensore — « capteur » non attesté INFCOR (italianisme). Cf. captatore ? || esternu — « externe » absent INFCOR (internu id 23999 attesté). Forme régulière probable, à confirmer.
mes_li_pointage	flaggé	— (cf. note)	puntamentu — « pointage » non attesté (verbe puntà id 55620 attesté). Dérivé, à confirmer. || sola — idem solu (fém. « Corsica sola » = Corse uniquement). Sens à confirmer.
mes_li_saisie	vérifié	INFCOR 23596, 23894, 50939, 51238	
mes_li_csv	vérifié (flexion)	flexion: 21418	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
mes_li_ctx	flaggé	— (cf. note)	ozzionale — « optionnel » non attesté INFCOR (italianisme opzionale). Cf. facultativu ?
mes_cancel	vérifié	INFCOR 3272	
mes_open_form	flaggé	— (cf. note)	formulariu — « formulaire » non attesté INFCOR.
cap_h3	flaggé	— (cf. note)	autumatizata — « automatisée » non attesté INFCOR. À confirmer.
cap_position_label	vérifié	INFCOR 37537	
cap_geoloc	vérifié	INFCOR 5322, 21539, 37537	
cap_small	flaggé	— (cf. note)	cliccate — idem cliccà (impératif). Non attesté au sens informatique.
cap_mag	vérifié	INFCOR 26263	
cap_orient	vérifié	INFCOR 31847	
cap_acc	flaggé	— (cf. note)	accelerometru — « accéléromètre » non attesté INFCOR. Terme technique.
cap_start	vérifié	INFCOR 36568, 38433	
cap_stop	vérifié	INFCOR 34475	
cap_results	vérifié (flexion)	flexion: 40123	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
cap_mean	vérifié	INFCOR 27633	
cap_std	vérifié	INFCOR 41772, 49179	
cap_n	vérifié (flexion)	flexion: 8223	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
cap_note_ph	flaggé	— (cf. note)	ozzionale — « optionnel » non attesté INFCOR (italianisme opzionale). Cf. facultativu ?
cap_submit	vérifié	INFCOR 26627, 28694	
methodo_title	vérifié	INFCOR 28060	
mob_toggle_aria	vérifié (flexion)	flexion: 46893	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
sidebar_toggle_aria	vérifié	INFCOR 11948, 25148, 38856	
sidebar_toggle_tt	vérifié	INFCOR 11948, 25148, 38856	
chips_aria	vérifié	INFCOR 15452, 17545, 17642	
chip_label	vérifié	INFCOR 15452	
chip_all	vérifié	INFCOR 	
chip_statique	flaggé	— (cf. note)	staticu — « statique » non attesté INFCOR. Terme technique.
chip_statique_tt	flaggé	— (cf. note)	magneticu — Forme exacte « magneticu » absente INFCOR (elettromagneticu id 15612 attesté). Forme régulière probable, à confirmer natif. || staticu — « statique » non attesté INFCOR. Terme technique. || geomagnetismu — « géomagnétisme » non attesté INFCOR. Terme technique. || crustale — « crustal » non attesté INFCOR. Terme technique. || suscettibilità — « susceptibilité » non attesté INFCOR. Terme technique. || litulogica — « lithologique » non attesté INFCOR. Terme technique.
chip_elf_tt	flaggé	— (cf. note)	magneticu — Forme exacte « magneticu » absente INFCOR (elettromagneticu id 15612 attesté). Forme régulière probable, à confirmer natif. || posti — « postes » : INFCOR « postu » id 35778 = participe posé/placé ; le nom « poste » (substation) à confirmer.
chip_rf_tt	flaggé	— (cf. note)	radiofrequenze — « radiofréquences » non attesté INFCOR. Terme technique. || emettitori — « émetteurs » non attesté INFCOR (emettitore italianisme). Cf. trasmettitore ?
chip_ionisant	vérifié	INFCOR 24862	
chip_ionisant_tt	vérifié (flexion)	INFCOR 24862, 37564 · flexion: 44828	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
cat_modele	vérifié	INFCOR 29238	
cat_anthropique	flaggé	— (cf. note)	antropiche — « anthropiques » non attesté INFCOR. Terme savant.
cat_naturel	vérifié	INFCOR 12917, 29937	
subgroup_a	flaggé	— (cf. note)	magneticu — Forme exacte « magneticu » absente INFCOR (elettromagneticu id 15612 attesté). Forme régulière probable, à confirmer natif.
subgroup_b	flaggé	— (cf. note)	territuriale — « territorial » non attesté INFCOR forme exacte (territoriu id 48949 attesté). Dérivé, à confirmer.
subgroup_c	vérifié (flexion)	flexion: 15182, 44828	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
lyr_hot	vérifié	INFCOR 12108, 54907	
lyr_hot_tt	flaggé	— (cf. note)	agregazione — « agrégation » non attesté INFCOR. À confirmer.
lyr_con	vérifié (flexion)	flexion: 28694	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
lyr_con_tt	flaggé	— (cf. note)	citatine — idem citatina (fém. pl.).
lyr_ant	vérifié (flexion)	flexion: 3325	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
lyr_ant_tt	flaggé	— (cf. note)	emettitori — « émetteurs » non attesté INFCOR (emettitore italianisme). Cf. trasmettitore ?
lyr_res	vérifié	INFCOR 38578	
lyr_res_tt	flaggé	— (cf. note)	posti — « postes » : INFCOR « postu » id 35778 = participe posé/placé ; le nom « poste » (substation) à confirmer.
lyr_bt	vérifié	INFCOR 38578	
lyr_bt_tt	vérifié	INFCOR 6251, 38578, 48805	
lyr_prod	vérifié (flexion)	INFCOR 36699 · flexion: 44828	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
lyr_prod_tt	flaggé	— (cf. note)	eoliane — « éoliennes » non attesté INFCOR. À confirmer. || intercunnessione — « interconnexion » non attesté INFCOR (cunnessione id 12736 attesté). Composé, à confirmer.
lyr_postes	flaggé	— (cf. note)	posti — « postes » : INFCOR « postu » id 35778 = participe posé/placé ; le nom « poste » (substation) à confirmer.
lyr_postes_tt	flaggé	— (cf. note)	posti — « postes » : INFCOR « postu » id 35778 = participe posé/placé ; le nom « poste » (substation) à confirmer. || posti — « postes » : INFCOR « postu » id 35778 = participe posé/placé ; le nom « poste » (substation) à confirmer.
lyr_geo	vérifié	INFCOR 19035	
lyr_geo_tt	vérifié (flexion)	INFCOR 7920, 9044, 19747, 42275 · flexion: 19033	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
lyr_failles	flaggé	— (cf. note)	faglie — « faille » (géologie) non attesté INFCOR (italianisme probable). || tettoniche — « tectoniques » non attesté INFCOR. Terme technique.
lyr_failles_tt	flaggé	— (cf. note)	faglie — « faille » (géologie) non attesté INFCOR (italianisme probable). || tettoniche — « tectoniques » non attesté INFCOR. Terme technique. || faglie — « faille » (géologie) non attesté INFCOR (italianisme probable).
lyr_radon_tt	vérifié (flexion)	INFCOR 19033, 37282 · flexion: 53250	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
lyr_emag	flaggé	— (cf. note)	magneticu — Forme exacte « magneticu » absente INFCOR (elettromagneticu id 15612 attesté). Forme régulière probable, à confirmer natif.
lyr_emag_tt	flaggé	— (cf. note)	magneticu — Forme exacte « magneticu » absente INFCOR (elettromagneticu id 15612 attesté). Forme régulière probable, à confirmer natif. || zoccalu — « socle » non attesté INFCOR (sens géologique). À confirmer.
lyr_cav	vérifié	INFCOR 9503	
lyr_cav_tt	vérifié (flexion)	INFCOR 9503 · flexion: 19923, 28415, 47965	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
lyr_therm	vérifié (flexion)	flexion: 47822, 48860	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
lyr_therm_tt	flaggé	— (cf. note)	faglie — « faille » (géologie) non attesté INFCOR (italianisme probable).
lyr_hyd	vérifié	INFCOR 20241	
lyr_hyd_tt	à confirmer	—	
lyr_foret	vérifié (flexion)	flexion: 18577, 36802	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
lyr_foret_tt	vérifié (flexion)	INFCOR 7971, 14759, 25903, 29326, 36802, 46893, 52018 · flexion: 12090, 18577, 36802	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
lyr_uth	vérifié (flexion)	INFCOR 28691 · flexion: 44828	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
lyr_uth_tt	flaggé	— (cf. note)	radiometriche — « radiométriques » non attesté INFCOR. Terme technique. || dose — « dose » non attesté INFCOR forme exacte. À confirmer.
lyr_remarq	vérifié (flexion)	flexion: 19028, 39445, 44828	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
lyr_remarq_tt	flaggé	— (cf. note)	serpentinite — « serpentinite » non attesté INFCOR. Terme géologique spécialisé. || ofiolitiche — « ophiolitiques » non attesté INFCOR. Terme géologique spécialisé. || surviglianza — « surveillance » non attesté INFCOR forme exacte. À confirmer.
lyr_crustal	vérifié (flexion)	INFCOR 29288, 38079 · flexion: 3447	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
lyr_crustal_tt	flaggé	— (cf. note)	magnetiche — « magnétiques » : magneticu absent INFCOR (elettromagneticu id 15612 attesté). Forme régulière probable, à confirmer. || crustale — « crustal » non attesté INFCOR. Terme technique. || lucale — « local » absent INFCOR. Forme régulière probable, à confirmer.
btn_expert_aria	vérifié (flexion)	flexion: 16367, 23894	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
btn_expert	vérifié (flexion)	flexion: 16367, 23894	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
btn_share_aria	vérifié	INFCOR 45664, 51996	
btn_share	vérifié	INFCOR 45664, 51996	
xp_header	vérifié	INFCOR 12108, 22460	
xp_lastpoint	vérifié	INFCOR 2937, 37341, 50774	
xp_stats	vérifié (flexion)	INFCOR 29238 · flexion: 46410	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
xp_anfr_loading	flaggé	— (cf. note)	caricamentu — « chargement » absent INFCOR (carica id 8925 attesté). Dérivé régulier, à confirmer.
xp_reset	vérifié	INFCOR 	
xp_csv	vérifié	INFCOR 16367	
xp_off	flaggé	— (cf. note)	disattivà — « désactiver » absent INFCOR (attivà id 5229 attesté). Dérivé régulier, à confirmer.
bandeau_label	vérifié	INFCOR 12108, 16367, 22460, 28927	
bandeau_close_aria	flaggé	— (cf. note)	disattivà — « désactiver » absent INFCOR (attivà id 5229 attesté). Dérivé régulier, à confirmer.
op_geo	vérifié	INFCOR 19035	
op_hyd	vérifié (flexion)	flexion: 17004	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
op_emag	flaggé	— (cf. note)	magneticu — Forme exacte « magneticu » absente INFCOR (elettromagneticu id 15612 attesté). Forme régulière probable, à confirmer natif.
cbar_aria	vérifié	INFCOR 12508, 22684, 38022, 49184	
cbar_toggle_aria	vérifié (flexion)	INFCOR 12508, 48139 · flexion: 13865	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
cbar_summary_aria	vérifié	INFCOR 22684, 38022, 38478, 49184	
badge_kp_tt	flaggé	— (cf. note)	geomagnetica — « géomagnétique » non attesté INFCOR. Terme technique.
badge_reseau_tt	vérifié (flexion)	INFCOR 8925, 38578 · flexion: 11092, 15567	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
badge_reseau	vérifié	INFCOR 38578	
badge_sb_tt	flaggé	— (cf. note)	statu — « statut/état » : la 1re entrée INFCOR « statu » (id 46249) = « bustier » ; des formes statu/statutu peuvent exister par ailleurs — sens à confirmer (risque de faux-sens).
badge_meteo_tt	flaggé	— (cf. note)	timpurale — INFCOR donne l'adjectif timpuralescu=orageux ; le nom « orage » timpurale non confirmé.
badge_meteo	flaggé	— (cf. note)	timpurale — INFCOR donne l'adjectif timpuralescu=orageux ; le nom « orage » timpurale non confirmé.
badge_contribs_tt	vérifié	INFCOR 12823, 30891, 38049, 48934	
cond_solaire	vérifié	INFCOR 5242, 47541	
cond_atmo	vérifié (flexion)	INFCOR 12508 · flexion: 5057	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
cond_reseau	vérifié (flexion)	INFCOR 38578 · flexion: 15567	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
cond_contribs	vérifié	INFCOR 12823, 48934	
cond_sum_solaire	vérifié	INFCOR 51508	
cond_key_bz	vérifié	INFCOR 47541, 51457	
cond_key_dens	vérifié	INFCOR 13774, 47541, 51457	
cond_key_proton	flaggé	— (cf. note)	prutoni — « proton » non attesté INFCOR.
cond_key_corr	vérifié (flexion)	INFCOR 13320 · flexion: 1364	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
cond_key_acq	flaggé	— (cf. note)	acquisizione — « acquisition » non attesté INFCOR (cf. acquistu).
cond_key_refrac	flaggé	— (cf. note)	rifrattività — « réfractivité » non attesté INFCOR. Terme technique.
cond_key_orage	flaggé	— (cf. note)	timpurale — INFCOR donne l'adjectif timpuralescu=orageux ; le nom « orage » timpurale non confirmé.
cond_key_charge	vérifié	INFCOR 8925	
acq_label	vérifié	INFCOR 51508	
sparkline_aria	vérifié (flexion)	INFCOR 8925, 36448, 53553 · flexion: 11092, 15567	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
cert_header	vérifié (flexion)	INFCOR 18021 · flexion: 9712	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
cert_btn	vérifié (flexion)	INFCOR 42048 · flexion: 41980	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
cert_desc	flaggé	— (cf. note)	visibule — « visible » non attesté INFCOR forme exacte. Forme régulière probable, à confirmer. || rombi — « losanges » : INFCOR « rombu » id 40057 = turbot (poisson) ; le sens géométrique « losange » à confirmer.
contrib_recent	vérifié	INFCOR 6195, 12823, 38049	
legende_aria	vérifié	INFCOR 25293	
legende_toggle_aria	vérifié (flexion)	INFCOR 25293 · flexion: 5243, 46893	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
legende_content_aria	vérifié	INFCOR 25293	
legende_title	vérifié (flexion)	INFCOR 25293 · flexion: 5243, 46893	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
legende_empty	vérifié (flexion)	INFCOR 1565, 11948, 12108, 25293, 54907 · flexion: 5229, 28694	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
legends_ctx_aria	flaggé	— (cf. note)	cuntestuali — « contextuels » non attesté INFCOR (cuntestu id 12917 attesté). Dérivé, à confirmer.
ms_naturel	vérifié	INFCOR 29937	
ms_composite	vérifié	INFCOR 12108, 50669	
ms_delta	vérifié	INFCOR 3447, 48934	
ms_reel	vérifié	INFCOR 28694, 38022, 48934	
m_delta_hint	flaggé	— (cf. note)	cliccate — idem cliccà (impératif). Non attesté au sens informatique.
md_delta	vérifié	INFCOR 3447	
md_note	vérifié	INFCOR 29238, 30746	
md_hydro	vérifié	INFCOR 17235, 20223	
md_fh	flaggé	— (cf. note)	hertziani — « hertziens » non attesté INFCOR. Terme technique.
md_score	flaggé	— (cf. note)	puntegiu — « score » rendu par puntegiu — non attesté INFCOR. À confirmer (cf. puntu/punteghju ?).
md_score_mesure	vérifié	INFCOR 28706	
mpanel_close_tt	vérifié	INFCOR 707	
cform_title	vérifié	INFCOR 12823, 48934	
cform_epistemic	vérifié (flexion)	INFCOR 12823, 22457, 48934, 51238 · flexion: 9712, 13532	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
cform_position	flaggé	— (cf. note)	cliccate — idem cliccà (impératif). Non attesté au sens informatique.
cform_reposition	flaggé	— (cf. note)	ripusiziunà — « repositionner » non attesté INFCOR. Dérivé, à confirmer.
cform_step1	vérifié	INFCOR 12917, 48427	
cform_step2	vérifié	INFCOR 23894, 48427	
cform_step3	vérifié	INFCOR 28694, 48427	
cform_step_cond	vérifié	INFCOR 12508, 28694	
cform_step4	vérifié (flexion)	INFCOR 23999, 48427 · flexion: 13865	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
cform_step5	vérifié	INFCOR 31750, 48427	
ctx_ext	flaggé	— (cf. note)	esternu — « externe » absent INFCOR (internu id 23999 attesté). Forme régulière probable, à confirmer.
ctx_int	vérifié	INFCOR 23999	
cform_instr_label	vérifié	INFCOR 23894, 28694	
optgroup_phone	vérifié	INFCOR 23855	
optgroup_ext	flaggé	— (cf. note)	sensore — « capteur » non attesté INFCOR (italianisme). Cf. captatore ? || esternu — « externe » absent INFCOR (internu id 23999 attesté). Forme régulière probable, à confirmer.
optgroup_cert	vérifié (flexion)	INFCOR 28694 · flexion: 9712	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
optgroup_obs	vérifié	INFCOR 31750	
opt_mag	vérifié	INFCOR 26263, 48687	
opt_rssi	vérifié (flexion)	INFCOR 38578, 44196 · flexion: 32717	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
opt_wifi	vérifié (flexion)	INFCOR 44196 · flexion: 32717	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
opt_autre	flaggé	— (cf. note)	sensore — « capteur » non attesté INFCOR (italianisme). Cf. captatore ? || dedicatu — « dédié » non attesté INFCOR forme exacte. À confirmer.
opt_anfr	flaggé	— (cf. note)	accreditatu — « accrédité » non attesté INFCOR forme exacte. À confirmer.
opt_observation	vérifié	INFCOR 31750, 48934, 52018	
opt_ressenti	vérifié (flexion)	INFCOR 23698, 43235 · flexion: 47512	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
cform_val_label	vérifié	INFCOR 28706, 51238	
cform_val_hint	vérifié (flexion)	INFCOR 10309, 52207 · flexion: 25130	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
cform_val_ph	vérifié	INFCOR 	
btn_native_mag	vérifié	INFCOR 9404, 26263, 48687	
btn_csv_import	vérifié (flexion)	INFCOR 21418 · flexion: 28694	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
cond_avion	vérifié (flexion)	INFCOR 5581, 28694, 28927 · flexion: 5229	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
cond_usb	vérifié (flexion)	INFCOR 8925 · flexion: 14869	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
cond_metal	vérifié	INFCOR 27969, 31524, 37685	
cond_duree	vérifié	INFCOR 15483, 25651, 46606	
int_ctx_title	vérifié	INFCOR 12917, 23999	
int_etage	vérifié	INFCOR 34498	
etage_soussol	vérifié	INFCOR 8528, 45059	
etage_rdc	flaggé	— (cf. note)	pianterrenu — « rez-de-chaussée » non attesté INFCOR. À confirmer (cf. pianu terrenu).
etage_1	vérifié	INFCOR 34498	
etage_2	vérifié	INFCOR 34498	
int_materiaux	vérifié (flexion)	INFCOR 27433 · flexion: 29540	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
int_materiaux_hint	vérifié (flexion)	flexion: 26981	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
mat_portland	flaggé	— (cf. note)	betone — « béton » non attesté INFCOR (italianisme betone).
mat_chaux	flaggé	— (cf. note)	betone — « béton » non attesté INFCOR (italianisme betone).
mat_geo	flaggé	— (cf. note)	geopolimeru — « géopolymère » non attesté INFCOR. Terme technique.
mat_fibre	flaggé	— (cf. note)	betone — « béton » non attesté INFCOR (italianisme betone). || fibratu — « fibré » non attesté INFCOR. À confirmer.
mat_arme	flaggé	— (cf. note)	betone — « béton » non attesté INFCOR (italianisme betone).
mat_parpaing	flaggé	— (cf. note)	bluchettu — « parpaing » non attesté INFCOR.
mat_brique	vérifié	INFCOR 27516	
mat_platre	vérifié	INFCOR 19235	
mat_bois	vérifié	INFCOR 25436	
mat_pierre	vérifié	INFCOR 19747, 34557	
mat_enduit	flaggé	— (cf. note)	intonacu — « enduit » non attesté INFCOR (italianisme).
mat_grillage	flaggé	— (cf. note)	intonacu — « enduit » non attesté INFCOR (italianisme).
mat_laine	vérifié	INFCOR 25035, 34557	
mat_peinture	vérifié (flexion)	INFCOR 35328 · flexion: 31394	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
mat_cuivre	vérifié	INFCOR 37771, 54019	
mat_plomb	vérifié	INFCOR 3482, 35098, 54019	
mat_pvc	vérifié	INFCOR 54019	
