SUP_ID;STA_NM_ANFR;NAT_ID;COR_NB_DG_LAT;COR_NB_MN_LAT;COR_NB_SC_LAT;COR_CD_NS_LAT;COR_NB_DG_LON;COR_NB_MN_LON;COR_NB_SC_LON;COR_CD_EW_LON;SUP_NM_HAUT;TPO_ID;ADR_LB_LIEU;ADR_LB_ADD1;ADR_LB_ADD2;ADR_LB_ADD3;ADR_NM_CP;COM_CD_INSEE
455094;0860620523;38;46;35;29;N;0;21;40;E;71;9;;11 R de Nimègue;;;86000;86194
455094;0860620514;38;46;35;29;N;0;21;40;E;71;9;;11 R de Nimègue;;;86000;86194
455094;0862650168;38;46;35;29;N;0;21;40;E;71;9;;11 R de Nimègue;;;86000;86194
455094;0860770014;38;46;35;29;N;0;21;40;E;71;9;;11 R de Nimègue;;;86000;86194
455094;0860620509;38;46;35;29;N;0;21;40;E;71;9;;11 R de Nimègue;;;86000;86194
455094;0860620538;38;46;35;29;N;0;21;40;E;71;9;;11 R de Nimègue;;;86000;86194
455094;0862650151;38;46;35;29;N;0;21;40;E;71;9;;11 R de Nimègue;;;86000;86194
455094;0862650167;38;46;35;29;N;0;21;40;E;71;9;;11 R de Nimègue;;;86000;86194
455094;0860620507;38;46;35;29;N;0;21;40;E;71;9;;11 R de Nimègue;;;86000;86194
455094;0862650150;38;46;35;29;N;0;21;40;E;71;9;;11 R de Nimègue;;;86000;86194
455094;0860620007;38;46;35;29;N;0;21;40;E;71;9;;11 R de Nimègue;;;86000;86194
455094;0862650148;38;46;35;29;N;0;21;40;E;71;9;;11 R de Nimègue;;;86000;86194
455094;0862650152;38;46;35;29;N;0;21;40;E;71;9;;11 R de Nimègue;;;86000;86194
455094;0862670505;38;46;35;29;N;0;21;40;E;71;9;;11 R de Nimègue;;;86000;86194
455094;0860580002;38;46;35;29;N;0;21;40;E;71;9;;11 R de Nimègue;;;86000;86194
459122;0131650139;23;43;21;32;N;5;34;29;E;43;32;Garlaban;Mont des Marseillais;;;13360;13086
459122;0130300012;23;43;21;32;N;5;34;29;E;43;32;Garlaban;Mont des Marseillais;;;13360;13086
459122;0131650135;23;43;21;32;N;5;34;29;E;43;32;Garlaban;Mont des Marseillais;;;13360;13086
459122;0131670009;23;43;21;32;N;5;34;29;E;43;32;Garlaban;Mont des Marseillais;;;13360;13086
459122;0132290012;23;43;21;32;N;5;34;29;E;43;32;Garlaban;Mont des Marseillais;;;13360;13086
459122;0131670013;23;43;21;32;N;5;34;29;E;43;32;Garlaban;Mont des Marseillais;;;13360;13086
459122;0130220022;23;43;21;32;N;5;34;29;E;43;32;Garlaban;Mont des Marseillais;;;13360;13086
455391;0942290051;38;48;47;40;N;2;25;50;E;41;28;;24/32 av de la liberté;;;94700;94046
462788;0860990014;23;46;35;29;N;0;20;52;E;62;32;hop des champs;CHEM DES GRANDES DUNES;Station TDF Les Couronneries;;86000;86194
462788;0862750015;23;46;35;29;N;0;20;52;E;62;32;hop des champs;CHEM DES GRANDES DUNES;Station TDF Les Couronneries;;86000;86194
462788;0861670001;23;46;35;29;N;0;20;52;E;62;32;hop des champs;CHEM DES GRANDES DUNES;Station TDF Les Couronneries;;86000;86194
462788;0860770007;23;46;35;29;N;0;20;52;E;62;32;hop des champs;CHEM DES GRANDES DUNES;Station TDF Les Couronneries;;86000;86194
462788;0862700001;23;46;35;29;N;0;20;52;E;62;32;hop des champs;CHEM DES GRANDES DUNES;Station TDF Les Couronneries;;86000;86194
462788;0862290141;23;46;35;29;N;0;20;52;E;62;32;hop des champs;CHEM DES GRANDES DUNES;Station TDF Les Couronneries;;86000;86194
468544;0652290061;38;43;13;34;N;0;4;1;E;53;9;;22 av aristide briand;résidence la tour - imm raybaud;;65000;65440
468544;0652700021;38;43;13;34;N;0;4;1;E;53;9;;22 av aristide briand;résidence la tour - imm raybaud;;65000;65440
468544;0652750022;38;43;13;34;N;0;4;1;E;53;9;;22 av aristide briand;résidence la tour - imm raybaud;;65000;65440
468544;0650990009;38;43;13;34;N;0;4;1;E;53;9;;22 av aristide briand;résidence la tour - imm raybaud;;65000;65440
466398;0090130208;23;43;1;10;N;1;28;32;E;53;32;;le Puech;;;09240;09042
466398;0090990181;23;43;1;10;N;1;28;32;E;53;32;;le Puech;;;09240;09042
466398;0090220062;23;43;1;10;N;1;28;32;E;53;32;;le Puech;;;09240;09042
466398;0092290014;23;43;1;10;N;1;28;32;E;53;32;;le Puech;;;09240;09042
470303;0410230011;33;47;36;49;N;2;3;6;E;83;16;Les Bois;rte de souvigny;;;41600;41106
470303;0412290005;33;47;36;49;N;2;3;6;E;83;16;Les Bois;rte de souvigny;;;41600;41106
470303;0411670002;33;47;36;49;N;2;3;6;E;83;16;Les Bois;rte de souvigny;;;41600;41106
470303;0410220087;33;47;36;49;N;2;3;6;E;83;16;Les Bois;rte de souvigny;;;41600;41106
470303;0410300005;33;47;36;49;N;2;3;6;E;83;16;Les Bois;rte de souvigny;;;41600;41106
470303;0411670003;33;47;36;49;N;2;3;6;E;83;16;Les Bois;rte de souvigny;;;41600;41106
470324;0132700274;23;43;17;12;N;5;36;35;E;25;72;parc d'activite de la plaine;Bassin de Rétention ;LES NEGADIS NORD;;13420;13042
459550;0852290032;23;46;20;53;N;1;25;44;W;35,3;74;Les Joncs;r du perthuis breton;;;85360;85294
459931;0472700031;4;44;11;33;N;0;1;54;E;41;34;Le Bourg;Labouere;;;47420;47119
455017;0902290034;4;47;37;17;N;6;50;21;E;28;34;Chenois Nord;R du Château d'eau;;;90800;90008
455017;0902700056;4;47;37;17;N;6;50;21;E;28;34;Chenois Nord;R du Château d'eau;;;90800;90008
455017;0902750017;4;47;37;17;N;6;50;21;E;28;34;Chenois Nord;R du Château d'eau;;;90800;90008
451697;0702700198;23;47;44;56;N;6;19;42;E;34;32;LE JEUNE BAN;N.57;;;70300;70098
451697;0702290091;23;47;44;56;N;6;19;42;E;34;32;LE JEUNE BAN;N.57;;;70300;70098
451697;0702750033;23;47;44;56;N;6;19;42;E;34;32;LE JEUNE BAN;N.57;;;70300;70098
451697;0700220051;23;47;44;56;N;6;19;42;E;34;32;LE JEUNE BAN;N.57;;;70300;70098
451697;0700990063;23;47;44;56;N;6;19;42;E;34;32;LE JEUNE BAN;N.57;;;70300;70098
453056;0832750723;38;43;8;18;N;5;59;11;E;18,3;28;;av du char de verdun;;;83160;83144
453056;0832700292;38;43;8;18;N;5;59;11;E;18,3;28;;av du char de verdun;;;83160;83144
456920;0840990019;23;43;41;17;N;5;38;38;E;28;32;PLAINE DE ST SEPULCRE;;;;84120;84076
456920;0840770018;23;43;41;17;N;5;38;38;E;28;32;PLAINE DE ST SEPULCRE;;;;84120;84076
456920;0842750002;23;43;41;17;N;5;38;38;E;28;32;PLAINE DE ST SEPULCRE;;;;84120;84076
456920;0842700001;23;43;41;17;N;5;38;38;E;28;32;PLAINE DE ST SEPULCRE;;;;84120;84076
454057;0450130099;4;48;0;49;N;2;41;47;E;68,3;17;;r de la petite ronce;Réservoir de la Doit;;45700;45247
454057;0450130101;4;48;0;49;N;2;41;47;E;68,3;17;;r de la petite ronce;Réservoir de la Doit;;45700;45247
454057;0450130098;4;48;0;49;N;2;41;47;E;68,3;17;;r de la petite ronce;Réservoir de la Doit;;45700;45247
454057;0450130095;4;48;0;49;N;2;41;47;E;68,3;17;;r de la petite ronce;Réservoir de la Doit;;45700;45247
454057;0450130114;4;48;0;49;N;2;41;47;E;68,3;17;;r de la petite ronce;Réservoir de la Doit;;45700;45247
454057;0450130037;4;48;0;49;N;2;41;47;E;68,3;17;;r de la petite ronce;Réservoir de la Doit;;45700;45247
454057;0450130008;4;48;0;49;N;2;41;47;E;68,3;17;;r de la petite ronce;Réservoir de la Doit;;45700;45247
454057;0450130094;4;48;0;49;N;2;41;47;E;68,3;17;;r de la petite ronce;Réservoir de la Doit;;45700;45247
454057;0450130100;4;48;0;49;N;2;41;47;E;68,3;17;;r de la petite ronce;Réservoir de la Doit;;45700;45247
469934;0290990233;26;48;24;27;N;4;42;58;W;35;74;KERVELEDAN;r de la résistance;Déchetterie;;29810;29201
469934;0292750278;26;48;24;27;N;4;42;58;W;35;74;KERVELEDAN;r de la résistance;Déchetterie;;29810;29201
469934;0292290245;26;48;24;27;N;4;42;58;W;35;74;KERVELEDAN;r de la résistance;Déchetterie;;29810;29201
469934;0292700453;26;48;24;27;N;4;42;58;W;35;74;KERVELEDAN;r de la résistance;Déchetterie;;29810;29201
451131;0382290264;38;45;11;27;N;5;44;12;E;36;28;;2 à 6 r Hébert;;;38000;38185
451131;0382750492;38;45;11;27;N;5;44;12;E;36;28;;2 à 6 r Hébert;;;38000;38185
451131;0382700234;38;45;11;27;N;5;44;12;E;36;28;;2 à 6 r Hébert;;;38000;38185
452106;0172700055;4;45;46;15;N;1;9;3;W;60;17;Le Jard;R du Château d'eau;;;17390;17452
452106;0172290072;4;45;46;15;N;1;9;3;W;60;17;Le Jard;R du Château d'eau;;;17390;17452
452106;0172750064;4;45;46;15;N;1;9;3;W;60;17;Le Jard;R du Château d'eau;;;17390;17452
452106;0170990029;4;45;46;15;N;1;9;3;W;60;17;Le Jard;R du Château d'eau;;;17390;17452
453965;0382750110;17;45;21;41;N;5;35;47;E;27;29;;103 BD DENFERT ROCHEREAU;;;38500;38563
453965;0382290313;17;45;21;41;N;5;35;47;E;27;29;;103 BD DENFERT ROCHEREAU;;;38500;38563
636909;0291651012;23;48;10;57;N;3;48;1;W;36;32;Kervaëz;Site ITAS TIM;;;29520;29027
636909;0291651011;23;48;10;57;N;3;48;1;W;36;32;Kervaëz;Site ITAS TIM;;;29520;29027
636909;0291651007;23;48;10;57;N;3;48;1;W;36;32;Kervaëz;Site ITAS TIM;;;29520;29027
636909;0291651002;23;48;10;57;N;3;48;1;W;36;32;Kervaëz;Site ITAS TIM;;;29520;29027
636909;0291651003;23;48;10;57;N;3;48;1;W;36;32;Kervaëz;Site ITAS TIM;;;29520;29027
453905;0592700239;17;50;59;56;N;2;7;27;E;35;26;;1 Boulevard des Scilteurs;cse Sapeurs Pompiers;;59820;59273
453905;0592750148;17;50;59;56;N;2;7;27;E;35;26;;1 Boulevard des Scilteurs;cse Sapeurs Pompiers;;59820;59273
450617;0492750181;23;47;20;27;N;0;5;3;E;43;6;Pièce de la Vicaire;D155;;;49390;49045
450617;0490220083;23;47;20;27;N;0;5;3;E;43;6;Pièce de la Vicaire;D155;;;49390;49045
450617;0492290161;23;47;20;27;N;0;5;3;E;43;6;Pièce de la Vicaire;D155;;;49390;49045
450617;0492700163;23;47;20;27;N;0;5;3;E;43;6;Pièce de la Vicaire;D155;;;49390;49045
450617;0490990253;23;47;20;27;N;0;5;3;E;43;6;Pièce de la Vicaire;D155;;;49390;49045
458782;0831650179;23;43;11;4;N;6;31;23;E;32;32;Les Hauts de Cavalaire;All du Grand Cap;Station TDF de CAVALAIRE;;83240;83036
458782;0830990010;23;43;11;4;N;6;31;23;E;32;32;Les Hauts de Cavalaire;All du Grand Cap;Station TDF de CAVALAIRE;;83240;83036
458782;0830130054;23;43;11;4;N;6;31;23;E;32;32;Les Hauts de Cavalaire;All du Grand Cap;Station TDF de CAVALAIRE;;83240;83036
458782;0831650243;23;43;11;4;N;6;31;23;E;32;32;Les Hauts de Cavalaire;All du Grand Cap;Station TDF de CAVALAIRE;;83240;83036
458782;0830130269;23;43;11;4;N;6;31;23;E;32;32;Les Hauts de Cavalaire;All du Grand Cap;Station TDF de CAVALAIRE;;83240;83036
458782;0832290508;23;43;11;4;N;6;31;23;E;32;32;Les Hauts de Cavalaire;All du Grand Cap;Station TDF de CAVALAIRE;;83240;83036
458782;0832700013;23;43;11;4;N;6;31;23;E;32;32;Les Hauts de Cavalaire;All du Grand Cap;Station TDF de CAVALAIRE;;83240;83036
458782;0830130268;23;43;11;4;N;6;31;23;E;32;32;Les Hauts de Cavalaire;All du Grand Cap;Station TDF de CAVALAIRE;;83240;83036
458782;0831650178;23;43;11;4;N;6;31;23;E;32;32;Les Hauts de Cavalaire;All du Grand Cap;Station TDF de CAVALAIRE;;83240;83036
458782;0830770039;23;43;11;4;N;6;31;23;E;32;32;Les Hauts de Cavalaire;All du Grand Cap;Station TDF de CAVALAIRE;;83240;83036
458782;0832750360;23;43;11;4;N;6;31;23;E;32;32;Les Hauts de Cavalaire;All du Grand Cap;Station TDF de CAVALAIRE;;83240;83036
458782;0830220290;23;43;11;4;N;6;31;23;E;32;32;Les Hauts de Cavalaire;All du Grand Cap;Station TDF de CAVALAIRE;;83240;83036
458782;0830130055;23;43;11;4;N;6;31;23;E;32;32;Les Hauts de Cavalaire;All du Grand Cap;Station TDF de CAVALAIRE;;83240;83036
458782;0831650027;23;43;11;4;N;6;31;23;E;32;32;Les Hauts de Cavalaire;All du Grand Cap;Station TDF de CAVALAIRE;;83240;83036
458782;0831650029;23;43;11;4;N;6;31;23;E;32;32;Les Hauts de Cavalaire;All du Grand Cap;Station TDF de CAVALAIRE;;83240;83036
458782;0830130270;23;43;11;4;N;6;31;23;E;32;32;Les Hauts de Cavalaire;All du Grand Cap;Station TDF de CAVALAIRE;;83240;83036
458782;0830130271;23;43;11;4;N;6;31;23;E;32;32;Les Hauts de Cavalaire;All du Grand Cap;Station TDF de CAVALAIRE;;83240;83036
458830;02B0130318;23;42;10;6;N;9;20;30;E;73;32;Castello vecchio;;;;20270;2B016
458830;02B1650500;23;42;10;6;N;9;20;30;E;73;32;Castello vecchio;;;;20270;2B016
458830;02B2650175;23;42;10;6;N;9;20;30;E;73;32;Castello vecchio;;;;20270;2B016
458830;02B2290004;23;42;10;6;N;9;20;30;E;73;32;Castello vecchio;;;;20270;2B016
458830;02B2650970;23;42;10;6;N;9;20;30;E;73;32;Castello vecchio;;;;20270;2B016
458830;02B0130153;23;42;10;6;N;9;20;30;E;73;32;Castello vecchio;;;;20270;2B016
458830;02B0130320;23;42;10;6;N;9;20;30;E;73;32;Castello vecchio;;;;20270;2B016
458830;02B2650174;23;42;10;6;N;9;20;30;E;73;32;Castello vecchio;;;;20270;2B016
458830;02B2750042;23;42;10;6;N;9;20;30;E;73;32;Castello vecchio;;;;20270;2B016
458830;02B2650183;23;42;10;6;N;9;20;30;E;73;32;Castello vecchio;;;;20270;2B016
458830;02B0770009;23;42;10;6;N;9;20;30;E;73;32;Castello vecchio;;;;20270;2B016
458830;02B0990070;23;42;10;6;N;9;20;30;E;73;32;Castello vecchio;;;;20270;2B016
458830;02B1650510;23;42;10;6;N;9;20;30;E;73;32;Castello vecchio;;;;20270;2B016
458830;02B0130319;23;42;10;6;N;9;20;30;E;73;32;Castello vecchio;;;;20270;2B016
458830;02B2700019;23;42;10;6;N;9;20;30;E;73;32;Castello vecchio;;;;20270;2B016
465738;0642050016;4;43;20;7;N;0;24;35;W;52;17;Les Bourdettes;chem de la teulière;GR.653;;64230;64335
465738;0642700021;4;43;20;7;N;0;24;35;W;52;17;Les Bourdettes;chem de la teulière;GR.653;;64230;64335
465738;0642290134;4;43;20;7;N;0;24;35;W;52;17;Les Bourdettes;chem de la teulière;GR.653;;64230;64335
465738;0642750073;4;43;20;7;N;0;24;35;W;52;17;Les Bourdettes;chem de la teulière;GR.653;;64230;64335
465738;0640990022;4;43;20;7;N;0;24;35;W;52;17;Les Bourdettes;chem de la teulière;GR.653;;64230;64335
466772;0770460010;23;49;3;14;N;3;8;33;E;37;24;LES ESSARTS;RD 23;;;77840;77129
466772;0772750867;23;49;3;14;N;3;8;33;E;37;24;LES ESSARTS;RD 23;;;77840;77129
466772;0772700293;23;49;3;14;N;3;8;33;E;37;24;LES ESSARTS;RD 23;;;77840;77129
466772;0772290368;23;49;3;14;N;3;8;33;E;37;24;LES ESSARTS;RD 23;;;77840;77129
463451;0632750094;20;45;45;2;N;3;6;42;E;26;34;;PL DE LA LIBÉRATION;EGLISE;;63170;63014
464709;0411650001;23;47;47;27;N;1;5;16;E;47;32;La Poterie;;;;41100;41269
464709;0412750254;23;47;47;27;N;1;5;16;E;47;32;La Poterie;;;;41100;41269
464709;0412700003;23;47;47;27;N;1;5;16;E;47;32;La Poterie;;;;41100;41269
464709;0410130013;23;47;47;27;N;1;5;16;E;47;32;La Poterie;;;;41100;41269
464709;0411650008;23;47;47;27;N;1;5;16;E;47;32;La Poterie;;;;41100;41269
464709;0411650002;23;47;47;27;N;1;5;16;E;47;32;La Poterie;;;;41100;41269
464709;0410130067;23;47;47;27;N;1;5;16;E;47;32;La Poterie;;;;41100;41269
464709;0410990011;23;47;47;27;N;1;5;16;E;47;32;La Poterie;;;;41100;41269
464709;0410130012;23;47;47;27;N;1;5;16;E;47;32;La Poterie;;;;41100;41269
464709;0410130068;23;47;47;27;N;1;5;16;E;47;32;La Poterie;;;;41100;41269
464709;0411650007;23;47;47;27;N;1;5;16;E;47;32;La Poterie;;;;41100;41269
464709;0411650005;23;47;47;27;N;1;5;16;E;47;32;La Poterie;;;;41100;41269
464709;0410130071;23;47;47;27;N;1;5;16;E;47;32;La Poterie;;;;41100;41269
464643;0290990084;23;48;19;46;N;4;17;16;W;33;65;CLEMENEC'HY;;;;29460;29137
464643;0292750281;23;48;19;46;N;4;17;16;W;33;65;CLEMENEC'HY;;;;29460;29137
464643;0292700374;23;48;19;46;N;4;17;16;W;33;65;CLEMENEC'HY;;;;29460;29137
464643;0292290314;23;48;19;46;N;4;17;16;W;33;65;CLEMENEC'HY;;;;29460;29137
469966;0060030937;17;43;39;41;N;7;12;20;E;25;5;;Aéroport Nice Cote d'Azur;Terminal 2;pignon Nord;06000;06088
469966;0062700339;17;43;39;41;N;7;12;20;E;25;5;;Aéroport Nice Cote d'Azur;Terminal 2;pignon Nord;06000;06088
469966;0060031168;17;43;39;41;N;7;12;20;E;25;5;;Aéroport Nice Cote d'Azur;Terminal 2;pignon Nord;06000;06088
469966;0060031171;17;43;39;41;N;7;12;20;E;25;5;;Aéroport Nice Cote d'Azur;Terminal 2;pignon Nord;06000;06088
469966;0060031172;17;43;39;41;N;7;12;20;E;25;5;;Aéroport Nice Cote d'Azur;Terminal 2;pignon Nord;06000;06088
477082;0382290537;23;45;24;9;N;5;21;4;E;27,1;65;Bois Cardot;;;;38260;38174
477082;0382750322;23;45;24;9;N;5;21;4;E;27,1;65;Bois Cardot;;;;38260;38174
477082;0382700285;23;45;24;9;N;5;21;4;E;27,1;65;Bois Cardot;;;;38260;38174
477082;0380990165;23;45;24;9;N;5;21;4;E;27,1;65;Bois Cardot;;;;38260;38174
478435;0521650136;24;47;48;13;N;5;24;7;E;205;32;Le Cognelot;Centre Emetteur TDF de Chalindrey;;;52600;52093
478435;0520130073;24;47;48;13;N;5;24;7;E;205;32;Le Cognelot;Centre Emetteur TDF de Chalindrey;;;52600;52093
478435;0520130504;24;47;48;13;N;5;24;7;E;205;32;Le Cognelot;Centre Emetteur TDF de Chalindrey;;;52600;52093
